title,url,category,price,count_review,address,count_photo,rating,rating_by_category,normalized_rating
Хаят,https://www.tripadvisor.ru/Hotel_Review-g608960-d6819122-Reviews-Hayat-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,1000.0,25,"ул. Новороссийская, 277, Анапа 353450 Россия",25,3.5,1.4803400885161893,0.8130113421463953
Imperial Sun,https://www.tripadvisor.ru/Hotel_Review-g608960-d14780353-Reviews-Imperial_Sun-Anapa_Krasnodar_Krai_Southern_District.html,Отель,3500.0,9,"Ленина, 158, Анапа 353440 Россия",16,4.0,0.8513062379526719,0.8513062379526719
Максимус,https://www.tripadvisor.ru/Hotel_Review-g608960-d3158059-Reviews-Maksimus_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель,1900.0,29,"ул. Самбурова, д. 12а, Анапа 353440 Россия",19,3.5,0.8159186500612905,0.8159186500612905
Отель Евразия,https://www.tripadvisor.ru/Hotel_Review-g608960-d2334787-Reviews-Eurasia_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,1400.0,13,"пер. Кордонный, д. 1и, Анапа 353440 Россия",0,4.0,1.0452830188679245,0.8390390390390391
Avdallini,https://www.tripadvisor.ru/Hotel_Review-g608960-d8780438-Reviews-Avdallini-Anapa_Krasnodar_Krai_Southern_District.html,Отель,1500.0,11,"Proezd Topoliny 4, Анапа 353440 Россия",0,4.0,0.8330330330330331,0.8330330330330331
Гостевой дом «Семь ветров»,https://www.tripadvisor.ru/Hotel_Review-g608960-d9715977-Reviews-Guest_House_7_Vetrov-Anapa_Krasnodar_Krai_Southern_District.html,Лодж,1500.0,5,"ул. Пальмовая, 4, Анапа 353440 Россия",0,4.5,1.2125,0.915015015015015
Hotel Vogue,https://www.tripadvisor.ru/Hotel_Review-g608960-d19936122-Reviews-Hotel_Vogue-Anapa_Krasnodar_Krai_Southern_District.html,Отель,3800.0,10,"ул. Крепостная, д. 51, корп. 2, помещение № 4, Анапа 353440 Россия",12,3.5,0.7482394382242638,0.7482394382242638
Отель Престиж,https://www.tripadvisor.ru/Hotel_Review-g608960-d12417296-Reviews-Prestige_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Отель особого типа,3000.0,3,"Гребенская/Заводская 89/60, Анапа 353440 Россия",0,5.0,1.5,1.009009009009009
"Отель ""Валенсия""",https://www.tripadvisor.ru/Hotel_Review-g608960-d3703099-Reviews-Valencia_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Лодж,1400.0,4,"ул. Дружбы, 1, Анапа 353440 Россия",10,5.0,1.4386792452830188,1.02718651884054
Dva Nomera Na Studencheskom I Zelonyy Dvorik,https://www.tripadvisor.ru/Hotel_Review-g608960-d23289867-Reviews-Dva_Nomera_Na_Studencheskom_I_Zelonyy_Dvorik-Anapa_Krasnodar_Krai_Southern_District.html,Кондоминиум,,0,,0,,0.0,0.0
Apartments Pioneer,https://www.tripadvisor.ru/Hotel_Review-g608960-d23325359-Reviews-Apartments_Pioneer-Anapa_Krasnodar_Krai_Southern_District.html,Кондоминиум,,0,"Pionerskiy prospekt 57\4, Анапа 353456 Россия",0,,0.0,0.0
Guest House on Sovetskaya street,https://www.tripadvisor.ru/Hotel_Review-g608960-d23180085-Reviews-Guest_House_on_Sovetskaya_street-Anapa_Krasnodar_Krai_Southern_District.html,Кондоминиум,,0,,0,,0.0,0.0
"Пансионат ""Радуга""",https://www.tripadvisor.ru/Hotel_Review-g608960-d2723825-Reviews-Raduga_Pension_Resort-Anapa_Krasnodar_Krai_Southern_District.html,Отель,,60,"Гостевой проезд, д. 29, Анапа 353456 Россия",74,4.5,1.192471530711288,1.192471530711288
"Отель ""Радуга Серенити""",https://www.tripadvisor.ru/Hotel_Review-g608960-d2723831-Reviews-Raduga_Serenity_Hotel-Anapa_Krasnodar_Krai_Southern_District.html,Небольшой отель,,28,"Малый проезд, д. 7, Анапа 353456 Россия",9,5.0,1.6394129979035639,1.0977411402297592
Эллада,https://www.tripadvisor.ru/Hotel_Review-g608960-d6516770-Reviews-Ellada-Anapa_Krasnodar_Krai_Southern_District.html,Российский санаторий,,31,"Пионерский проспект, 45, Анапа 353456 Россия",98,4.5,1.6595443349753696,1.1418032600126682
