url,Category AN,title,category,count_review,rating,count_photo,cits,rating_by_category,normalized_rating,title_yandex,address,lat,lon
https://www.tripadvisor.ru/Attraction_Review-g608960-d21172453-Reviews-Mass_Grave_of_Soviet_Soldiers-Anapa_Krasnodar_Krai_Southern_District.html,достопримечательности,Братская могила советских войнов,Исторические достопримечательности • Культурные объекты и достопримечательности,1.0,5.0,1.0,,1.0075130962227736,1.0045697029693068,"Братская могила советских воинов и мирных жителей, замученных фашистскими оккупантами в 1942-1943 гг","Россия, Краснодарский край, Анапа, Старое кладбище",44.887759,37.300205
https://www.tripadvisor.ru/Attraction_Review-g608960-d21169936-Reviews-Triumphal_Arch-Anapa_Krasnodar_Krai_Southern_District.html,достопримечательности,Триумфальная арка,Культурные объекты и достопримечательности,1.0,5.0,1.0,,1.0075130962227736,1.0045697029693068,Триумфальная арка,"Крепостная ул., 72, Анапа",44.894374,37.311171
https://www.tripadvisor.ru/Attraction_Review-g608960-d21170562-Reviews-Lenina_Slavy_Park-Anapa_Krasnodar_Krai_Southern_District.html,зеленые зоны,Сквер Славы имени Ленина,Парки,1.0,5.0,1.0,,1.101313320825516,1.0045697029693068,Сквер Воинской славы,"Россия, Краснодарский край, Анапа, сквер Воинской славы",44.893336,37.310282
https://www.tripadvisor.ru/Attraction_Review-g608960-d21170544-Reviews-Chernobyl_Victim_Monument-Anapa_Krasnodar_Krai_Southern_District.html,достопримечательности,Памятник жертвам Чернобыля,Памятники и статуи,1.0,5.0,1.0,,1.0075130962227736,1.0045697029693068,Ликвидаторам аварии на Чернобыльской АЭС,"Россия, Краснодарский край, Анапа, проспект Революции",44.895912,37.304518
https://www.tripadvisor.ru/Attraction_Review-g608960-d21170549-Reviews-Great_Patriotic_War_Memorial-Anapa_Krasnodar_Krai_Southern_District.html,достопримечательности,Мемориал Великой Отечественной войны,Культурные объекты и достопримечательности • Памятники и статуи,1.0,5.0,1.0,,1.0075130962227736,1.0045697029693068,Памятник погибшим в ВОВ,"Россия, Краснодарский край, Анапа, микрорайон Алексеевка, Анапское шоссе",44.89962,37.357361
https://www.tripadvisor.ru/Attraction_Review-g608960-d21170558-Reviews-Memorial_Sign_to_Those_Who_Died_in_the_Chechen_Republic-Anapa_Krasnodar_Krai_Sou.html,достопримечательности,Памятный знак погибшим в Чеченской республике,Памятники и статуи,1.0,5.0,1.0,,1.0075130962227736,1.0045697029693068,Памятный знак погибшим в Чеченской республике,"Россия, Краснодарский край, Анапа, сквер Боевой славы",44.8954,37.304599
https://www.tripadvisor.ru/Attraction_Review-g608960-d8776978-Reviews-Chikh_Pykh-Anapa_Krasnodar_Krai_Southern_District.html,бары и клубы,Чих Пых,Бары и клубы,4.0,4.0,2.0,,0.8650466372115857,0.8127691700039499,Бар Чих Пых,"Крестьянская ул., 3А, Анапа",44.904636,37.333874
https://www.tripadvisor.ru/Attraction_Review-g608960-d9982165-Reviews-Chocolate_Studio-Anapa_Krasnodar_Krai_Southern_District.html,экскурсии и мастер-классы,Шоколадная мастерская,Уроки и мастер-классы • Кулинарные мастер-классы,4.0,4.0,1.0,,1.3636363636363635,0.8100143490673107,Шоколадная мастерская Диана Руди,"ул. Самбурова, 58А, Анапа",44.888504,37.313431
https://www.tripadvisor.ru/Attraction_Review-g608960-d8066854-Reviews-Anapa_Marina_Yacht_Club-Anapa_Krasnodar_Krai_Southern_District.html,экскурсии и мастер-классы,Анапа-Марина Яхт-Клуб,Лодочные туры • Водные виды спорта,7.0,3.5,,,1.3363636363636364,0.7127041742286752,Яхт клуб Анапа,"Набережная ул., 3, Анапа",44.897142,37.30689
https://www.tripadvisor.ru/Attraction_Review-g608960-d21171404-Reviews-Fountain_Pearl_of_Anapa-Anapa_Krasnodar_Krai_Southern_District.html,достопримечательности,Фонтанная жемчужина Анапы,Фонтаны,2.0,3.5,1.0,,0.7096498483595258,0.706384585001975,Фонтан,"Россия, Краснодарский край, Анапа, улица Горького",44.895493,37.315606
